aaa,9648956,9005,145,234
aab,9861313,7600,123,213
aac,9842131,8937,109,174
aad,9924161,6668,16,58
aae,9747391,8607,75,118
aaf,9908252,8668,547,935
aag,9818091,9813,6,13
aba,9571268,11137,104,280
abb,9748904,7636,5,8
abc,9973851,8882,51,102
abd,9733013,8635,5,10
abe,9622903,6895,85,180
abf,9891740,10516,57,88
abg,9686086,8793,6,21
aca,9930257,7056,169,274
acb,9793876,9472,215,333
acc,9847121,10788,118,231
acd,9972278,7850,40,92
ace,9881134,9255,183,353
acf,9788300,9215,392,606
acg,9194884,7892,27,69
ada,9595821,7430,33,107
adb,9568038,8510,169,280
adc,9924861,8971,185,368
add,9700740,8084,42,143
ade,9394779,8302,104,220
adf,9948449,10409,15,52
adg,9600468,9509,105,239
aea,9908003,7904,25,69
aeb,9848105,8596,125,227
aec,9857505,9850,158,263
aed,9958063,8854,55,76
aee,9818041,8937,213,451
aef,9948014,9442,187,263
aeg,9994860,9869,37,102
afa,9816400,11051,188,376
afb,9969482,8137,36,106
afc,9981160,8817,100,261
afd,9507387,9222,44,100
afe,9917516,7851,245,421
aff,9946211,9520,113,201
afg,9855726,8587,265,417
aga,9812026,8772,34,122
agb,9948956,8859,230,399
agc,9961145,9335,220,321
agd,9934389,9674,99,298
age,9978483,10021,68,249
agf,9956236,10425,25,62
agg,9950939,7641,43,78
baa,9824802,9113,59,230
bab,9978482,9805,184,318
bac,9669135,9438,6,16
bad,9593321,7987,141,230
bae,9770302,6540,120,266
baf,9629813,9102,81,220
bag,9901266,8730,73,219
bba,9837689,8870,9,20
bbb,9825289,8460,5,10
bbc,9885704,8540,34,71
bbd,9965843,7860,88,284
bbe,9796663,7911,14,40
bbf,9953291,7750,211,307
bbg,9944610,9289,107,208
bca,9924609,9538,81,176
bcb,9801091,9450,154,282
bcc,9824851,9074,70,228
bcd,9907471,8849,69,149
bce,9825762,10252,13,45
bcf,9906516,10282,50,68
bcg,9942041,7675,140,256
bda,9952042,8422,218,325
bdb,9936174,7702,131,282
bdc,9735027,8803,16,48
bdd,9675366,9903,7,14
bde,9977158,9419,6,17
bdf,9884947,9089,89,135
bdg,9845890,9302,20,120
bea,9839776,8195,144,241
beb,9692649,9694,45,139
bec,9542474,8699,10,29
bed,9769362,10176,336,592
bee,9993215,8851,168,267
bef,9943550,7753,135,234
beg,9742695,9352,162,321
bfa,9953952,9261,386,640
bfb,9943295,9981,87,142
bfc,9743933,9504,95,220
bfd,9762240,9368,301,422
bfe,9674909,8931,81,275
bff,9942351,9971,218,431
bfg,9801636,8665,119,256
bga,9935535,9171,32,109
bgb,9611963,9518,148,230
bgc,9729409,9585,171,307
bgd,9505291,8874,265,429
bge,9874101,10242,89,263
bgf,9956925,9721,71,247
bgg,9854871,9542,5,15
caa,9800030,8857,78,143
cab,9617215,9155,17,55
cac,9905149,7899,156,216
cad,9640637,10463,72,197
cae,9996771,9079,315,461
caf,9933133,8726,13,48
cag,9785397,9308,17,80
cba,9813091,7124,40,73
cbb,9766341,9389,101,337
cbc,9777681,10138,219,329
cbd,9976554,8704,141,246
cbe,9938238,9760,31,74
cbf,9988147,7432,116,274
cbg,9901761,8707,124,189
cca,9866055,9669,865,2248
ccb,9987309,8977,13,26
ccc,9611081,8151,9,36
ccd,9901041,9565,261,380
cce,9838598,9021,10,25
ccf,9843463,9995,67,136
ccg,9650592,10749,124,252
cda,9994659,8869,249,434
cdb,9963928,9373,7,16
cdc,9483007,8799,81,124
cdd,9845423,9370,115,292
cde,9974449,8493,264,367
cdf,9966753,8708,96,262
cdg,9971440,7764,396,647
cea,9988202,9326,14,53
ceb,9929620,8598,37,90
cec,9828663,8227,90,137
ced,9766147,8813,61,130
cee,9667329,9834,284,459
cef,9845765,9186,37,90
ceg,9910703,8477,107,194
cfa,9959212,8711,362,644
